month,day,campaign_number,user_engagement,banner,placement,displays,cost,clicks,revenue,post_click_conversions,post_click_sales_amount,ctr,cpc,cr,roi
April,1,camp 1,High,160 x 600,Morning Brew,20170,26.7824,158,28.9717,23,1972.4602,0.78,0.17,14.56,8.17
April,1,camp 1,High,160 x 600,Buzzfeed,14701,27.6304,158,28.9771,78,2497.2636,1.07,0.17,49.37,4.87
April,1,camp 1,High,160 x 600,CNBC,171259,216.875,1796,329.4518,617,24625.3234,1.05,0.12,34.35,51.91
April,1,camp 1,Low,160 x 600,Morning Brew,552,0.067,1,0.1834,0,0.0,0.18,0.07,0.0,173.73
April,1,camp 1,Low,160 x 600,CNBC,2234,0.4044,10,1.8347,3,101.7494,0.45,0.04,30.0,353.68
April,1,camp 1,Medium,160 x 600,Morning Brew,2963,1.8899,4,0.7338,4,100.5044,0.13,0.47,100.0,-61.17
April,1,camp 1,Medium,160 x 600,Buzzfeed,580,0.9917,9,1.6512,0,0.0,1.55,0.11,0.0,66.5
April,1,camp 1,Medium,160 x 600,CNBC,20152,11.1678,185,33.9397,13,653.1896,0.92,0.06,7.03,203.91
April,1,camp 1,High,240 x 400,Morning Brew,56499,50.5157,309,56.6775,105,4288.6699,0.55,0.16,33.98,12.2
April,1,camp 1,High,240 x 400,Buzzfeed,392142,351.9167,10237,1877.8227,2513,119601.4208,2.61,0.03,24.55,433.6
April,1,camp 1,High,240 x 400,Forbes,62395,30.2386,678,124.3631,173,10402.0618,1.09,0.04,25.52,311.27
April,1,camp 1,High,240 x 400,CNBC,214074,432.5858,2120,388.8174,805,39654.6687,0.99,0.2,37.97,-10.12
April,1,camp 1,Low,240 x 400,Morning Brew,671,0.0997,2,0.3669,0,0.0,0.3,0.05,0.0,268.0
April,1,camp 1,Low,240 x 400,Buzzfeed,1188,0.904,7,1.2843,2,145.5734,0.59,0.13,28.57,42.07
April,1,camp 1,Low,240 x 400,Forbes,380,0.1743,1,0.1834,1,211.5323,0.26,0.17,100.0,5.22
April,1,camp 1,Low,240 x 400,CNBC,1789,0.4418,3,0.5504,0,0.0,0.17,0.15,0.0,24.58
April,1,camp 1,Medium,240 x 400,Morning Brew,6595,2.3886,30,5.5042,3,14.6254,0.45,0.08,10.0,130.44
April,1,camp 1,Medium,240 x 400,Buzzfeed,25765,22.1996,696,127.6715,82,5851.2447,2.7,0.03,11.78,475.11
April,1,camp 1,Medium,240 x 400,Forbes,4595,2.2328,45,8.2563,5,392.7653,0.98,0.05,11.11,269.77
April,1,camp 1,Medium,240 x 400,CNBC,18518,16.6353,158,28.9859,28,1735.5801,0.85,0.11,17.72,74.24
April,1,camp 1,High,300 x 250,Morning Brew,52381,54.8999,286,52.4647,99,4844.9065,0.55,0.19,34.62,-4.44
April,1,camp 1,High,300 x 250,Buzzfeed,62042,42.1673,1164,213.5207,364,20272.775,1.88,0.04,31.27,406.37
April,1,camp 1,High,300 x 250,Forbes,10001,5.495,82,15.0419,27,1304.4818,0.82,0.07,32.93,173.74
April,1,camp 1,High,300 x 250,CNBC,277579,336.111,2042,374.5268,754,45839.9536,0.74,0.16,36.92,11.43
April,1,camp 1,Low,300 x 250,Morning Brew,448,0.1226,2,0.3669,0,0.0,0.45,0.06,0.0,199.27
April,1,camp 1,Low,300 x 250,Buzzfeed,112,0.0661,1,0.1834,0,0.0,0.89,0.07,0.0,177.46
April,1,camp 1,Low,300 x 250,CNBC,3841,0.7599,15,2.7521,7,1864.6591,0.39,0.05,46.67,262.17
April,1,camp 1,Medium,300 x 250,Morning Brew,5932,3.8013,30,5.4954,6,573.1474,0.51,0.13,20.0,44.57
April,1,camp 1,Medium,300 x 250,Buzzfeed,2983,1.8454,82,15.039,1,29.2134,2.75,0.02,1.22,714.95
April,1,camp 1,Medium,300 x 250,Forbes,678,0.3841,4,0.7338,1,14.1537,0.59,0.1,25.0,91.04
April,1,camp 1,Medium,300 x 250,CNBC,30998,17.3368,184,33.7474,12,1323.659,0.59,0.09,6.52,94.66
April,1,camp 1,High,468 x 60,Morning Brew,1182,0.7543,2,0.3669,1,30.8236,0.17,0.38,50.0,-51.36
April,1,camp 1,High,468 x 60,Forbes,7,0.0045,1,0.1834,0,0.0,14.29,0.0,0.0,3975.56
April,1,camp 1,High,468 x 60,CNBC,4177,2.5521,7,1.2843,0,0.0,0.17,0.36,0.0,-49.68
April,1,camp 1,Low,468 x 60,Morning Brew,7,0.0015,1,0.1834,0,0.0,14.29,0.0,0.0,12126.67
April,1,camp 1,High,580 x 400,CNBC,52004,132.7561,1043,191.2989,401,15561.6075,2.01,0.13,38.45,44.1
April,1,camp 1,Low,580 x 400,CNBC,492,0.1722,6,1.1008,1,45.9209,1.22,0.03,16.67,539.26
April,1,camp 1,Medium,580 x 400,CNBC,4795,6.0088,60,11.0055,8,767.8439,1.25,0.1,13.33,83.16
April,1,camp 1,High,670 x 90,Morning Brew,5270,8.8886,56,10.2745,39,776.4618,1.06,0.16,69.64,15.59
April,1,camp 1,High,670 x 90,Buzzfeed,20898,16.8185,165,30.2614,63,2214.2764,0.79,0.1,38.18,79.93
April,1,camp 1,High,670 x 90,Forbes,434,0.308,3,0.5504,0,0.0,0.69,0.1,0.0,78.7
April,1,camp 1,High,670 x 90,CNBC,20161,31.6511,176,32.2884,92,3989.2796,0.87,0.18,52.27,2.01
April,1,camp 1,Low,670 x 90,Morning Brew,45,0.0111,1,0.1834,0,0.0,2.22,0.01,0.0,1552.25
April,1,camp 1,Low,670 x 90,CNBC,175,0.0204,1,0.1834,0,0.0,0.57,0.02,0.0,799.02
April,1,camp 1,Medium,670 x 90,Morning Brew,441,0.3654,7,1.2843,0,0.0,1.59,0.05,0.0,251.48
April,1,camp 1,Medium,670 x 90,Buzzfeed,1233,0.9526,9,1.6512,2,183.3429,0.73,0.11,22.22,73.34
April,1,camp 1,Medium,670 x 90,CNBC,1978,1.3976,13,2.3851,0,0.0,0.66,0.11,0.0,70.66
April,1,camp 1,High,728 x 90,Morning Brew,77942,74.7667,410,75.1528,121,6710.2429,0.53,0.18,29.51,0.52
April,1,camp 1,High,728 x 90,Buzzfeed,221002,292.8014,3384,620.7497,1179,59726.9939,1.53,0.09,34.84,112.0
April,1,camp 1,High,728 x 90,Forbes,32546,13.5669,254,46.5936,93,5418.0655,0.78,0.05,36.61,243.44
April,1,camp 1,High,728 x 90,CNBC,428642,424.0715,2961,543.1365,1239,57545.6564,0.69,0.14,41.84,28.08
April,1,camp 1,Low,728 x 90,Morning Brew,824,0.1407,4,0.7338,0,0.0,0.49,0.04,0.0,421.54
April,1,camp 1,Low,728 x 90,Buzzfeed,366,0.4347,3,0.5504,0,0.0,0.82,0.14,0.0,26.62
April,1,camp 1,Low,728 x 90,CNBC,5689,1.099,10,1.8288,1,12.7891,0.18,0.11,10.0,66.41
April,1,camp 1,Medium,728 x 90,Morning Brew,8165,3.8733,34,6.2381,1,72.0659,0.42,0.11,2.94,61.05
April,1,camp 1,Medium,728 x 90,Buzzfeed,10611,13.1693,179,32.833,32,1587.3458,1.69,0.07,17.88,149.31
April,1,camp 1,Medium,728 x 90,Forbes,2741,1.1191,31,5.6876,2,85.7347,1.13,0.04,6.45,408.23
April,1,camp 1,Medium,728 x 90,CNBC,50040,23.4219,309,56.665,31,2749.2091,0.62,0.08,10.03,141.93
April,1,camp 1,High,800 x 250,CNBC,21,0.0235,1,0.1834,0,0.0,4.76,0.02,0.0,680.43
April,1,camp 2,Low,160 x 600,Morning Brew,6745,0.5595,21,0.8256,0,0.0,0.31,0.03,0.0,47.56
April,1,camp 2,Low,160 x 600,Buzzfeed,99,0.1207,1,0.0393,0,0.0,1.01,0.12,0.0,-67.44
April,1,camp 2,Low,160 x 600,CNBC,50107,5.9831,367,14.427,3,66.5661,0.73,0.02,0.82,141.13
April,1,camp 2,Medium,160 x 600,Morning Brew,22075,5.1608,321,12.6178,4,269.4696,1.45,0.02,1.25,144.49
April,1,camp 2,Medium,160 x 600,Buzzfeed,2469,3.7891,58,2.2803,3,236.7731,2.35,0.07,5.17,-39.82
